tweet_id,favorite_count,retweet_count,created_at,retweeted_status,url
763103485927849985,7103,2193,Tue Aug 09 20:03:43 +0000 2016,Original tweet,https://t.co/VIXT3D26VM
762699858130116608,11669,3428,Mon Aug 08 17:19:51 +0000 2016,Original tweet,https://t.co/2lBg3ZgivD
762471784394268675,10800,6098,Mon Aug 08 02:13:34 +0000 2016,Original tweet,https://t.co/pA4MDKwRci
762464539388485633,9922,3964,Mon Aug 08 01:44:46 +0000 2016,Original tweet,https://t.co/zGSj1oUgxx
762316489655476224,4610,1059,Sun Aug 07 15:56:28 +0000 2016,Original tweet,https://t.co/sAHmwRtfSq
762035686371364864,30594,14748,Sat Aug 06 21:20:40 +0000 2016,Original tweet,https://t.co/3td8P3o0mB
761976711479193600,5202,1896,Sat Aug 06 17:26:19 +0000 2016,Original tweet,https://t.co/WTZ484EntP
761750502866649088,0,3716,Sat Aug 06 02:27:27 +0000 2016,This is a retweet,This is a retweet
761745352076779520,4127,825,Sat Aug 06 02:06:59 +0000 2016,Original tweet,https://t.co/obH5vMbm1j
761672994376806400,47472,27611,Fri Aug 05 21:19:27 +0000 2016,Original tweet,https://t.co/EY8kEFuzK7
761599872357261312,3981,1125,Fri Aug 05 16:28:54 +0000 2016,Original tweet,https://t.co/7HY9RvCudo
761371037149827077,0,17201,Fri Aug 05 01:19:35 +0000 2016,This is a retweet,This is a retweet
761334018830917632,4974,1380,Thu Aug 04 22:52:29 +0000 2016,Original tweet,https://t.co/ErPLjjJOKc
761292947749015552,4314,1036,Thu Aug 04 20:09:17 +0000 2016,Original tweet,https://t.co/0THNOfv2Jo
761227390836215808,5132,1493,Thu Aug 04 15:48:47 +0000 2016,Original tweet,https://t.co/nhLX27WsDY
761004547850530816,10926,3313,Thu Aug 04 01:03:17 +0000 2016,Original tweet,https://t.co/1acHQS8rvK
760893934457552897,3672,921,Wed Aug 03 17:43:45 +0000 2016,Original tweet,https://t.co/H9YgrUkYwa
760656994973933572,6336,1810,Wed Aug 03 02:02:14 +0000 2016,Original tweet,https://t.co/tl3gNYdoq2
760641137271070720,4805,1226,Wed Aug 03 00:59:13 +0000 2016,Original tweet,https://t.co/8Kmuj6SFbC
760539183865880579,7273,3448,Tue Aug 02 18:14:06 +0000 2016,Original tweet,https://t.co/9k8LLjJ0uJ
760521673607086080,4034,1324,Tue Aug 02 17:04:31 +0000 2016,Original tweet,https://t.co/IqyTF6qik6
760290219849637889,25742,10904,Tue Aug 02 01:44:48 +0000 2016,Original tweet,https://t.co/qFsl1nnXMv
760252756032651264,3793,822,Mon Aug 01 23:15:56 +0000 2016,Original tweet,https://t.co/4gOv2Q3iKP
760190180481531904,5483,1703,Mon Aug 01 19:07:17 +0000 2016,Original tweet,https://t.co/h6s9Rch0gZ
760153949710192640,0,30,Mon Aug 01 16:43:19 +0000 2016,This is a retweet,This is a retweet
759943073749200896,5710,1983,Mon Aug 01 02:45:22 +0000 2016,Original tweet,https://t.co/HtAR6gpUAu
759846353224826880,6464,1872,Sun Jul 31 20:21:02 +0000 2016,Original tweet,https://t.co/fd6uucghY6
759793422261743616,5730,1812,Sun Jul 31 16:50:42 +0000 2016,Original tweet,https://t.co/MYwR4DQKll
759557299618865152,4502,1140,Sun Jul 31 01:12:26 +0000 2016,Original tweet,https://t.co/JRV1dhBYwu
759447681597108224,8170,2344,Sat Jul 30 17:56:51 +0000 2016,Original tweet,https://t.co/vT3JM8b989
759446261539934208,1609,466,Sat Jul 30 17:51:13 +0000 2016,Original tweet,https://t.co/fRaTGcj68A
759197388317847553,5844,1846,Sat Jul 30 01:22:17 +0000 2016,Original tweet,https://t.co/gQH2mmKIJW
759159934323924993,0,1103,Fri Jul 29 22:53:27 +0000 2016,This is a retweet,This is a retweet
759099523532779520,13954,3942,Fri Jul 29 18:53:24 +0000 2016,Original tweet,https://t.co/Cim4DSj6Oi
759047813560868866,6230,1908,Fri Jul 29 15:27:55 +0000 2016,Original tweet,https://t.co/8W5iSOgXfx
758854675097526272,3410,863,Fri Jul 29 02:40:28 +0000 2016,Original tweet,https://t.co/4UrfOZhztW
758828659922702336,10769,3667,Fri Jul 29 00:57:05 +0000 2016,Original tweet,https://t.co/9T2h14yn4Q
758740312047005698,5512,1537,Thu Jul 28 19:06:01 +0000 2016,Original tweet,https://t.co/rfWQ4T9iQj
758474966123810816,3652,944,Thu Jul 28 01:31:38 +0000 2016,Original tweet,https://t.co/uPUAotqQtM
758467244762497024,4604,2098,Thu Jul 28 01:00:57 +0000 2016,Original tweet,https://t.co/HmwrdfEfUE
758405701903519748,5004,1815,Wed Jul 27 20:56:24 +0000 2016,Original tweet,https://t.co/M9BXCSDVjh
758355060040593408,3245,1005,Wed Jul 27 17:35:10 +0000 2016,Original tweet,https://t.co/NzWUrFZydr
758099635764359168,18226,9453,Wed Jul 27 00:40:12 +0000 2016,Original tweet,https://t.co/iy7ylyZcsE
758041019896193024,2598,351,Tue Jul 26 20:47:17 +0000 2016,Original tweet,https://t.co/l46jwv5WYv
757741869644341248,6595,3107,Tue Jul 26 00:58:34 +0000 2016,Original tweet,https://t.co/TdyGTcX0uo
757729163776290825,0,7474,Tue Jul 26 00:08:05 +0000 2016,This is a retweet,This is a retweet
757725642876129280,4364,1149,Mon Jul 25 23:54:05 +0000 2016,Original tweet,https://t.co/rptsOm73Wr
757611664640446465,4395,1037,Mon Jul 25 16:21:11 +0000 2016,Original tweet,https://t.co/AVks8DjHwB
757597904299253760,0,286,Mon Jul 25 15:26:30 +0000 2016,This is a retweet,This is a retweet
757596066325864448,4176,996,Mon Jul 25 15:19:12 +0000 2016,Original tweet,https://t.co/mOmnL19Wsl
757400162377592832,14516,6497,Mon Jul 25 02:20:45 +0000 2016,Original tweet,https://t.co/gwKCspY8N2
757393109802180609,5584,1636,Mon Jul 25 01:52:43 +0000 2016,Original tweet,https://t.co/OfvRoD6ndV
757354760399941633,4326,1338,Sun Jul 24 23:20:20 +0000 2016,Original tweet,https://t.co/7waRPODGyO
756998049151549440,6026,1891,Sat Jul 23 23:42:53 +0000 2016,Original tweet,https://t.co/qbO5X6dYuj
756939218950160384,6376,1904,Sat Jul 23 19:49:07 +0000 2016,Original tweet,https://t.co/KGdeHuFJnH
756651752796094464,4836,1232,Sat Jul 23 00:46:50 +0000 2016,Original tweet,https://t.co/l0Iwj6rLFW
756526248105566208,9978,3410,Fri Jul 22 16:28:07 +0000 2016,Original tweet,https://t.co/CsLRpqdeTF
756303284449767430,3786,1049,Fri Jul 22 01:42:09 +0000 2016,Original tweet,https://t.co/az5BVcIV5I
756288534030475264,42297,16806,Fri Jul 22 00:43:32 +0000 2016,Original tweet,https://t.co/hfddJ0OiNR
756275833623502848,6120,1451,Thu Jul 21 23:53:04 +0000 2016,Original tweet,https://t.co/JrDAzMhwG9
755955933503782912,7008,2716,Thu Jul 21 02:41:54 +0000 2016,Original tweet,https://t.co/GAYViEweWr
755110668769038337,20306,10525,Mon Jul 18 18:43:07 +0000 2016,Original tweet,https://t.co/goX3jewkYN
754874841593970688,0,7492,Mon Jul 18 03:06:01 +0000 2016,This is a retweet,This is a retweet
754856583969079297,6620,2374,Mon Jul 18 01:53:28 +0000 2016,Original tweet,https://t.co/FyHrk20gUR
754747087846248448,2478,494,Sun Jul 17 18:38:22 +0000 2016,Original tweet,https://t.co/G9ufksBMlU
754482103782404096,5069,1850,Sun Jul 17 01:05:25 +0000 2016,Original tweet,https://t.co/ca0q9HM8II
754449512966619136,3589,694,Sat Jul 16 22:55:55 +0000 2016,Original tweet,https://t.co/0dYI0Cpdge
754120377874386944,7569,2232,Sat Jul 16 01:08:03 +0000 2016,Original tweet,https://t.co/lFEoGqZ4oA
753655901052166144,5600,2065,Thu Jul 14 18:22:23 +0000 2016,Original tweet,https://t.co/ULqThwWmLg
753420520834629632,7544,3360,Thu Jul 14 02:47:04 +0000 2016,Original tweet,https://t.co/CCdlwiTwQf
753398408988139520,5501,1803,Thu Jul 14 01:19:12 +0000 2016,Original tweet,https://t.co/ov05LIoQJX
753375668877008896,7321,2209,Wed Jul 13 23:48:51 +0000 2016,Original tweet,https://t.co/3r7wjfsXHc
753298634498793472,0,5385,Wed Jul 13 18:42:44 +0000 2016,This is a retweet,This is a retweet
753294487569522689,3215,988,Wed Jul 13 18:26:16 +0000 2016,Original tweet,https://t.co/sTuRoYfzPv
753039830821511168,35536,19786,Wed Jul 13 01:34:21 +0000 2016,Original tweet,https://t.co/dsv4xAtfv7
753026973505581056,3755,906,Wed Jul 13 00:43:15 +0000 2016,Original tweet,https://t.co/6qF5YZx6OV
752932432744185856,12085,6497,Tue Jul 12 18:27:35 +0000 2016,Original tweet,https://t.co/v5m2bIukXc
752917284578922496,6664,1481,Tue Jul 12 17:27:23 +0000 2016,Original tweet,https://t.co/WZ4zzkXXnW
752701944171524096,0,2712,Tue Jul 12 03:11:42 +0000 2016,This is a retweet,This is a retweet
752682090207055872,5773,1503,Tue Jul 12 01:52:49 +0000 2016,Original tweet,https://t.co/xVSodF19PS
752660715232722944,4186,1472,Tue Jul 12 00:27:52 +0000 2016,Original tweet,https://t.co/bWSgqnwSHr
752568224206688256,5264,2162,Mon Jul 11 18:20:21 +0000 2016,Original tweet,https://t.co/HCXQL4fGVZ
752519690950500352,7051,3257,Mon Jul 11 15:07:30 +0000 2016,Original tweet,https://t.co/G54yClasz2
752334515931054080,3672,1039,Mon Jul 11 02:51:40 +0000 2016,Original tweet,https://t.co/jwd0j6oWLE
752309394570878976,0,15331,Mon Jul 11 01:11:51 +0000 2016,This is a retweet,This is a retweet
752173152931807232,5708,1734,Sun Jul 10 16:10:29 +0000 2016,Original tweet,https://t.co/olDmwNjOy1
751950017322246144,2934,863,Sun Jul 10 01:23:49 +0000 2016,Original tweet,https://t.co/BlGQkhM5EV
751937170840121344,4958,1236,Sun Jul 10 00:32:46 +0000 2016,Original tweet,https://t.co/Vfc3eAFl2q
751830394383790080,5569,1844,Sat Jul 09 17:28:29 +0000 2016,Original tweet,https://t.co/BJRsxuLF1w
751793661361422336,5547,2724,Sat Jul 09 15:02:31 +0000 2016,Original tweet,https://t.co/I7SFchkNk4
751598357617971201,7621,2901,Sat Jul 09 02:06:27 +0000 2016,Original tweet,https://t.co/fHQrBKYSLC
751583847268179968,4210,1037,Sat Jul 09 01:08:47 +0000 2016,Original tweet,https://t.co/u2c9c7qSg8
751538714308972544,4835,1185,Fri Jul 08 22:09:27 +0000 2016,Original tweet,https://t.co/5eJg69G8vY
751456908746354688,3086,950,Fri Jul 08 16:44:23 +0000 2016,Original tweet,https://t.co/lsVAMBq6ex
751251247299190784,12008,5553,Fri Jul 08 03:07:09 +0000 2016,Original tweet,https://t.co/wayKZkDRTG
751205363882532864,6047,1718,Fri Jul 08 00:04:50 +0000 2016,Original tweet,https://t.co/510gJW9fsy
751132876104687617,4846,1221,Thu Jul 07 19:16:47 +0000 2016,Original tweet,https://t.co/yToDwVXEpA
750868782890057730,4578,1288,Thu Jul 07 01:47:22 +0000 2016,Original tweet,https://t.co/xe1aGZNkcC
750719632563142656,12601,4738,Wed Jul 06 15:54:42 +0000 2016,Original tweet,https://t.co/WS6BoApYyL
750506206503038976,4251,1081,Wed Jul 06 01:46:38 +0000 2016,Original tweet,https://t.co/SVU00Sc9U2
750429297815552001,12613,4042,Tue Jul 05 20:41:01 +0000 2016,Original tweet,https://t.co/lprdOylVpS
750383411068534784,4364,1081,Tue Jul 05 17:38:41 +0000 2016,Original tweet,https://t.co/FfH3o88Vta
750381685133418496,684,28,Tue Jul 05 17:31:49 +0000 2016,Original tweet,y
750147208377409536,2989,906,Tue Jul 05 02:00:06 +0000 2016,Original tweet,https://t.co/Mr8Lr3iOUe
750132105863102464,3468,1220,Tue Jul 05 01:00:05 +0000 2016,Original tweet,https://t.co/dDx2gKefYo
750117059602808832,4169,1242,Tue Jul 05 00:00:18 +0000 2016,Original tweet,https://t.co/RXdzWaCQHm
750101899009982464,2919,799,Mon Jul 04 23:00:03 +0000 2016,Original tweet,https://t.co/enCpXzZHkD
750086836815486976,2082,505,Mon Jul 04 22:00:12 +0000 2016,Original tweet,https://t.co/7tlZPrePXd
750071704093859840,7459,3126,Mon Jul 04 21:00:04 +0000 2016,Original tweet,https://t.co/RG4C9IdNJM
750056684286914561,3043,853,Mon Jul 04 20:00:23 +0000 2016,Original tweet,https://t.co/8zQvXM6pG5
750041628174217216,3040,580,Mon Jul 04 19:00:33 +0000 2016,Original tweet,https://t.co/7JeDfQvzzI
750026558547456000,2605,739,Mon Jul 04 18:00:41 +0000 2016,Original tweet,https://t.co/jrg29NDNhI
750011400160841729,3095,853,Mon Jul 04 17:00:26 +0000 2016,Original tweet,https://t.co/D17IAcetmM
749996283729883136,2916,775,Mon Jul 04 16:00:22 +0000 2016,Original tweet,https://t.co/c7LNFt39eR
749981277374128128,4894,2341,Mon Jul 04 15:00:45 +0000 2016,Original tweet,https://t.co/GRXwMxLBkh
749774190421639168,4474,1258,Mon Jul 04 01:17:51 +0000 2016,Original tweet,https://t.co/4yXa801fgl
749417653287129088,5854,1552,Sun Jul 03 01:41:06 +0000 2016,Original tweet,https://t.co/qvA2rCUl6v
749403093750648834,2500,502,Sun Jul 03 00:43:15 +0000 2016,Original tweet,https://t.co/9qdJ2Q1Cwx
749395845976588288,8186,3262,Sun Jul 03 00:14:27 +0000 2016,Original tweet,https://t.co/lznl6QGkYc
749317047558017024,5233,2110,Sat Jul 02 19:01:20 +0000 2016,Original tweet,https://t.co/HHUAnBb6QB
749075273010798592,5506,1950,Sat Jul 02 03:00:36 +0000 2016,Original tweet,https://t.co/cRTJiQQk9o
749064354620928000,4603,1451,Sat Jul 02 02:17:13 +0000 2016,Original tweet,https://t.co/xEY8dbJxnF
749036806121881602,2965,751,Sat Jul 02 00:27:45 +0000 2016,Original tweet,https://t.co/U8cSRz8wzC
748977405889503236,10293,3216,Fri Jul 01 20:31:43 +0000 2016,Original tweet,https://t.co/nDPaYHrtNX
748932637671223296,5539,2132,Fri Jul 01 17:33:49 +0000 2016,Original tweet,https://t.co/BbcABzohKb
748705597323898880,2655,904,Fri Jul 01 02:31:39 +0000 2016,Original tweet,https://t.co/eA7k1ZQslA
748699167502000129,4538,1501,Fri Jul 01 02:06:06 +0000 2016,Original tweet,https://t.co/gGxjthmG1c
748692773788876800,4047,1259,Fri Jul 01 01:40:41 +0000 2016,Original tweet,https://t.co/vdr7DaRSa7
748575535303884801,5803,1881,Thu Jun 30 17:54:50 +0000 2016,Original tweet,https://t.co/z5bAdtn9kd
748568946752774144,2108,637,Thu Jun 30 17:28:39 +0000 2016,Original tweet,https://t.co/uUncaAGH18
748346686624440324,4995,1159,Thu Jun 30 02:45:28 +0000 2016,Original tweet,https://t.co/XFBrrqapZa
748337862848962560,7261,3872,Thu Jun 30 02:10:24 +0000 2016,Original tweet,https://t.co/QGGhZoTcwy
748324050481647620,3535,714,Thu Jun 30 01:15:31 +0000 2016,Original tweet,https://t.co/1sNtG7GgiO
748307329658011649,3535,674,Thu Jun 30 00:09:04 +0000 2016,Original tweet,https://t.co/KubWEqOIgO
748220828303695873,13496,7340,Wed Jun 29 18:25:21 +0000 2016,Original tweet,https://t.co/3BOVI2WZoH
747963614829678593,5538,2017,Wed Jun 29 01:23:16 +0000 2016,Original tweet,https://t.co/ZPfeRtOX0Q
747933425676525569,6324,2416,Tue Jun 28 23:23:19 +0000 2016,Original tweet,https://t.co/oQqlOsla4R
747885874273214464,2791,915,Tue Jun 28 20:14:22 +0000 2016,Original tweet,https://t.co/TGenMeXreW
747844099428986880,2705,702,Tue Jun 28 17:28:22 +0000 2016,Original tweet,https://t.co/V7h5NMYbYz
747816857231626240,4617,1101,Tue Jun 28 15:40:07 +0000 2016,Original tweet,https://t.co/L3U0j14N5R
747651430853525504,1308,147,Tue Jun 28 04:42:46 +0000 2016,Original tweet,p
747648653817413632,12305,5505,Tue Jun 28 04:31:44 +0000 2016,Original tweet,https://t.co/zexdr61Q5M
747600769478692864,2235,536,Tue Jun 28 01:21:27 +0000 2016,Original tweet,https://t.co/eUGjGjjFVJ
747594051852075008,3512,983,Tue Jun 28 00:54:46 +0000 2016,Original tweet,https://t.co/Ie2mWXWjpr
747512671126323200,5267,1521,Mon Jun 27 19:31:23 +0000 2016,Original tweet,https://t.co/12lICZN2SP
747461612269887489,3698,987,Mon Jun 27 16:08:30 +0000 2016,Original tweet,https://t.co/x4IUNKV79Y
747439450712596480,5169,1805,Mon Jun 27 14:40:26 +0000 2016,Original tweet,https://t.co/VCijm2eVpR
747242308580548608,0,2730,Mon Jun 27 01:37:04 +0000 2016,This is a retweet,This is a retweet
747219827526344708,5022,1483,Mon Jun 27 00:07:44 +0000 2016,Original tweet,https://t.co/uT7QeZI34U
747204161125646336,3210,861,Sun Jun 26 23:05:29 +0000 2016,Original tweet,https://t.co/dmdEBOEctC
747103485104099331,9114,3738,Sun Jun 26 16:25:26 +0000 2016,Original tweet,https://t.co/DX1JUHJVN7
746906459439529985,2778,275,Sun Jun 26 03:22:31 +0000 2016,Original tweet,https://t.co/c7WXaB2nqX
746872823977771008,5725,2018,Sun Jun 26 01:08:52 +0000 2016,Original tweet,https://t.co/9e48aPrBm2
746818907684614144,5076,1654,Sat Jun 25 21:34:37 +0000 2016,Original tweet,https://t.co/CuNA7OwfKQ
746790600704425984,4648,1515,Sat Jun 25 19:42:08 +0000 2016,Original tweet,https://t.co/jeWEGUgbXf
746757706116112384,9110,3685,Sat Jun 25 17:31:25 +0000 2016,Original tweet,https://t.co/bROYbceZ1u
746726898085036033,5781,1695,Sat Jun 25 15:29:00 +0000 2016,Original tweet,https://t.co/gLbLiZtwsp
746542875601690625,4814,1792,Sat Jun 25 03:17:46 +0000 2016,Original tweet,https://t.co/6ZRoZUWFmd
746521445350707200,0,928,Sat Jun 25 01:52:36 +0000 2016,This is a retweet,This is a retweet
746507379341139972,4453,1027,Sat Jun 25 00:56:43 +0000 2016,Original tweet,https://t.co/PlR6hjqvr5
746369468511756288,5934,1538,Fri Jun 24 15:48:42 +0000 2016,Original tweet,https://t.co/5qpBTTpgUt
746131877086527488,6566,2062,Fri Jun 24 00:04:36 +0000 2016,Original tweet,https://t.co/uRI7HBgGJX
746056683365994496,3404,765,Thu Jun 23 19:05:49 +0000 2016,Original tweet,https://t.co/VJgbgIzIHx
745789745784041472,3806,997,Thu Jun 23 01:25:06 +0000 2016,Original tweet,https://t.co/3wc246LOtu
